model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
Centrality:CLOSENESS,2,3,69.87951807228916,45.25547445255474,100.0,62.311557788944725,0.9827496981197171,0.9567897318250247
Centrality:EIGENVECTOR,2,3,78.3132530120482,100.0,12.903225806451612,22.857142857142858,0.9932723822666897,0.979837241404581
Centrality:CLUSTERING,2,3,68.27309236947792,5.263157894736842,1.6129032258064515,2.4691358024691357,0.5125927203726065,0.2356223433364216
RWR,2,3,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.983353458685527,0.9591030759486769
LogReg,2,3,96.3855421686747,87.32394366197182,100.0,93.23308270676691,0.9986199758495774,0.995847120518871
RandomForest,2,3,97.18875502008032,91.04477611940298,98.38709677419355,94.57364341085271,0.998404347076074,0.9957912340500766
GradBoost,2,3,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9987924788683801,0.9966661988279049
MLP,2,3,97.59036144578313,93.75,96.7741935483871,95.23809523809523,0.998533724340176,0.9956911939884077
GCN,2,3,83.13253012048193,59.61538461538461,100.0,74.69879518072288,0.9912023460410557,0.975100725703386
GraphSAGE,2,3,99.19678714859438,96.875,100.0,98.4126984126984,0.9995687424529929,0.9987195246069518
GAT-LR,2,3,96.78714859437751,89.70588235294117,98.38709677419355,93.84615384615384,0.9905985854752458,0.952202170919272
Majority,2,4,74.69879518072288,0.0,0.0,0.0,0.5,0.25301204819277107
Centrality:DEGREE,2,4,79.11646586345381,100.0,17.46031746031746,29.72972972972973,0.9987199180747568,0.9951223048494446
Centrality:BETWEENNESS,2,4,75.90361445783132,100.0,4.761904761904762,9.090909090909092,0.9002389486260455,0.7826725289697971
Centrality:CLOSENESS,2,4,63.05220883534136,40.64516129032258,100.0,57.798165137614674,0.9781959378733572,0.942041837882901
Centrality:EIGENVECTOR,2,4,79.51807228915662,100.0,19.047619047619047,32.0,0.9958183990442055,0.9870705118948985
Centrality:CLUSTERING,2,4,69.07630522088354,15.0,4.761904761904762,7.228915662650602,0.6194743130227001,0.2875406101612068
RWR,2,4,77.91164658634538,100.0,12.698412698412698,22.535211267605636,0.98489503328213,0.9596824654626952
LogReg,2,4,98.39357429718876,95.38461538461539,98.4126984126984,96.875,0.9995733060249189,0.9988004046284074
RandomForest,2,4,99.19678714859438,98.4126984126984,98.4126984126984,98.4126984126984,0.9994879672299026,0.9985809138470203
GradBoost,2,4,98.79518072289156,96.875,98.4126984126984,97.63779527559055,0.9992746202423621,0.9979047293947447
MLP,2,4,99.19678714859438,98.4126984126984,98.4126984126984,98.4126984126984,0.9996586448199352,0.9990265466455942
GCN,2,4,79.51807228915662,55.35714285714286,98.4126984126984,70.85714285714285,0.9886499402628435,0.974545697169407
GraphSAGE,2,4,99.19678714859438,98.4126984126984,98.4126984126984,98.4126984126984,0.9997439836149513,0.9992784992784993
GAT-LR,2,4,98.79518072289156,96.875,98.4126984126984,97.63779527559055,0.9997439836149513,0.9992784992784992
Majority,3,0,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,3,0,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.996463688114542,0.9880772613827616
Centrality:BETWEENNESS,3,0,75.50200803212851,100.0,1.6129032258064515,3.1746031746031744,0.864757633258582,0.7166851736931766
Centrality:CLOSENESS,3,0,46.1847389558233,31.63265306122449,100.0,48.06201550387597,0.9613161980334657,0.897521413088969
Centrality:EIGENVECTOR,3,0,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9901673279282387,0.9701700599650468
Centrality:CLUSTERING,3,0,65.86345381526104,12.903225806451612,6.451612903225806,8.60215053763441,0.5623598412972227,0.257021757246225
RWR,3,0,77.51004016064257,100.0,9.67741935483871,17.647058823529413,0.9747283077453855,0.9270746084428451
LogReg,3,0,97.59036144578313,91.17647058823529,100.0,95.38461538461539,0.9987062273589787,0.9962067912545052
RandomForest,3,0,97.99196787148594,95.23809523809523,96.7741935483871,96.0,0.9987924788683803,0.9966549200517543
GradBoost,3,0,98.39357429718876,96.7741935483871,96.7741935483871,96.7741935483871,0.998533724340176,0.9959142712416822
MLP,3,0,97.99196787148594,98.30508474576271,93.54838709677419,95.86776859504133,0.9987062273589787,0.9963220534409224
GCN,3,0,87.55020080321285,67.41573033707866,96.7741935483871,79.47019867549669,0.980852164912886,0.9509868121392231
GraphSAGE,3,0,99.59839357429718,98.4126984126984,100.0,99.2,1.0,1.0
GAT-LR,3,0,95.58232931726907,93.22033898305084,88.70967741935483,90.9090909090909,0.9867172675521823,0.9599956405579347
Majority,3,1,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,3,1,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9968949456615491,0.9900418519952789
Centrality:BETWEENNESS,3,1,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9335000862515094,0.8298187452287821
Centrality:CLOSENESS,3,1,59.43775100401606,38.036809815950924,100.0,55.111111111111114,0.9789977574607556,0.9496263451474437
Centrality:EIGENVECTOR,3,1,78.3132530120482,100.0,12.903225806451612,22.857142857142858,0.9949111609453165,0.9847184978956963
Centrality:CLUSTERING,3,1,63.85542168674698,3.3333333333333335,1.6129032258064515,2.1739130434782608,0.48792478868380196,0.22238013718690147
RWR,3,1,79.91967871485943,100.0,19.35483870967742,32.432432432432435,0.9830947041573228,0.950451805065469
LogReg,3,1,97.99196787148594,93.84615384615384,98.38709677419355,96.06299212598425,0.9981887183025704,0.9946669639404889
RandomForest,3,1,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9992237364153873,0.9977510805369791
GradBoost,3,1,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9990512333965845,0.997430918737721
MLP,3,1,98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9987062273589787,0.9961960169232749
GCN,3,1,83.93574297188755,61.702127659574465,93.54838709677419,74.35897435897436,0.9684319475590824,0.9349961865723647
GraphSAGE,3,1,98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.999568742452993,0.9987435503564536
GAT-LR,3,1,95.98393574297188,88.23529411764706,96.7741935483871,92.3076923076923,0.9848197343453511,0.9233992084053395
Majority,3,2,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
