experiment,T,pctl,rep,fold,test_positive_rate,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
threshold,2,50,0,4,0.5020080321285141,GAT-LR,93.97590361445783,97.41379310344827,90.4,93.7759336099585,0.984,0.9861676123655647,103.2
threshold,2,50,0,3,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,105.2
threshold,2,50,0,3,0.4979919678714859,Degree,55.020080321285135,100.0,9.67741935483871,17.647058823529413,0.975,0.9745136762745299,105.2
threshold,2,50,0,3,0.4979919678714859,Eigenvector,54.61847389558233,100.0,8.870967741935484,16.296296296296298,0.9983870967741936,0.9984596594174149,105.2
threshold,2,50,0,3,0.4979919678714859,LogReg,97.99196787148594,96.8503937007874,99.19354838709677,98.00796812749005,0.9989032258064516,0.9989771764833931,105.2
threshold,2,50,0,3,0.4979919678714859,RandomForest,98.39357429718876,97.61904761904762,99.19354838709677,98.4,0.9971612903225806,0.9970751565863596,105.2
threshold,2,50,0,3,0.4979919678714859,MLP,97.99196787148594,96.8503937007874,99.19354838709677,98.00796812749005,0.9991612903225806,0.9991860337566483,105.2
threshold,2,50,0,3,0.4979919678714859,GCN,89.5582329317269,85.0,95.96774193548387,90.15151515151516,0.9783870967741936,0.9827754576475112,105.2
threshold,2,50,0,3,0.4979919678714859,GraphSAGE,98.39357429718876,96.875,100.0,98.4126984126984,0.9998064516129032,0.9998094996189992,105.2
threshold,2,50,0,3,0.4979919678714859,GAT-LR,98.39357429718876,99.18032786885246,97.58064516129032,98.3739837398374,0.9970322580645161,0.9974443050121798,105.2
threshold,2,50,1,0,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,105.9
threshold,2,50,1,0,0.4979919678714859,Degree,55.020080321285135,100.0,9.67741935483871,17.647058823529413,0.9905161290322582,0.9894049510334052,105.9
threshold,2,50,1,0,0.4979919678714859,Eigenvector,54.61847389558233,100.0,8.870967741935484,16.296296296296298,0.9956129032258064,0.9956243038562951,105.9
threshold,2,50,1,0,0.4979919678714859,LogReg,98.39357429718876,98.38709677419355,98.38709677419355,98.38709677419355,0.9992258064516129,0.9992305375194186,105.9
threshold,2,50,1,0,0.4979919678714859,RandomForest,97.99196787148594,96.8503937007874,99.19354838709677,98.00796812749005,0.9988387096774194,0.9988268434795955,105.9
threshold,2,50,1,0,0.4979919678714859,MLP,98.79518072289156,98.4,99.19354838709677,98.79518072289156,0.9990322580645161,0.9990108494027021,105.9
threshold,2,50,1,0,0.4979919678714859,GCN,88.75502008032129,86.36363636363636,91.93548387096774,89.0625,0.966516129032258,0.9713324844710717,105.9
threshold,2,50,1,0,0.4979919678714859,GraphSAGE,97.99196787148594,97.6,98.38709677419355,97.99196787148594,0.9985161290322581,0.9984759957152012,105.9
threshold,2,50,1,0,0.4979919678714859,GAT-LR,86.74698795180723,84.21052631578947,90.32258064516128,87.15953307392996,0.943741935483871,0.9376368669997002,105.9
threshold,2,50,1,1,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,107.0
threshold,2,50,1,1,0.4979919678714859,Degree,52.208835341365464,100.0,4.032258064516129,7.751937984496124,0.9854838709677419,0.9841346418866439,107.0
threshold,2,50,1,1,0.4979919678714859,Eigenvector,53.41365461847389,100.0,6.451612903225806,12.121212121212121,0.9923870967741936,0.9925933172438102,107.0
threshold,2,50,1,1,0.4979919678714859,LogReg,97.18875502008032,97.5609756097561,96.7741935483871,97.16599190283401,0.997225806451613,0.9972268689425541,107.0
threshold,2,50,1,1,0.4979919678714859,RandomForest,96.3855421686747,97.52066115702479,95.16129032258065,96.3265306122449,0.9912580645161291,0.9857558001355449,107.0
threshold,2,50,1,1,0.4979919678714859,MLP,97.99196787148594,99.17355371900827,96.7741935483871,97.95918367346938,0.997741935483871,0.9977476366977778,107.0
threshold,2,50,1,1,0.4979919678714859,GCN,84.33734939759037,80.57553956834532,90.32258064516128,85.17110266159695,0.9553548387096775,0.9627732957940104,107.0
threshold,2,50,1,1,0.4979919678714859,GraphSAGE,97.59036144578313,98.36065573770492,96.7741935483871,97.5609756097561,0.9969032258064516,0.9968543524178116,107.0
threshold,2,50,1,1,0.4979919678714859,GAT-LR,95.58232931726907,95.9349593495935,95.16129032258065,95.54655870445345,0.9961935483870968,0.9963868115314993,107.0
threshold,2,50,1,2,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,103.8
threshold,2,50,1,2,0.4979919678714859,Degree,53.81526104417671,100.0,7.258064516129033,13.533834586466165,0.9797419354838709,0.9791719914480386,103.8
threshold,2,50,1,2,0.4979919678714859,Eigenvector,53.81526104417671,100.0,7.258064516129033,13.533834586466165,0.9963225806451613,0.9963406897184784,103.8
threshold,2,50,1,2,0.4979919678714859,LogReg,97.18875502008032,96.8,97.58064516129032,97.18875502008032,0.9967096774193549,0.9969250245474224,103.8
threshold,2,50,1,2,0.4979919678714859,RandomForest,96.78714859437751,95.3125,98.38709677419355,96.82539682539682,0.9985806451612903,0.9986138285577348,103.8
threshold,2,50,1,2,0.4979919678714859,MLP,97.18875502008032,96.8,97.58064516129032,97.18875502008032,0.9978709677419355,0.9979743456853121,103.8
threshold,2,50,1,2,0.4979919678714859,GCN,91.56626506024097,88.14814814814815,95.96774193548387,91.8918918918919,0.984516129032258,0.9865687613628138,103.8
threshold,2,50,1,2,0.4979919678714859,GraphSAGE,98.39357429718876,98.38709677419355,98.38709677419355,98.38709677419355,0.9994838709677419,0.9994842919289222,103.8
threshold,2,50,1,2,0.4979919678714859,GAT-LR,95.98393574297188,100.0,91.93548387096774,95.7983193277311,0.9961935483870967,0.9964461001380045,103.8
threshold,2,50,1,3,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,83.8
threshold,2,50,1,3,0.4979919678714859,Degree,53.41365461847389,100.0,6.451612903225806,12.121212121212121,0.9859354838709677,0.9838260396381195,83.8
threshold,2,50,1,3,0.4979919678714859,Eigenvector,52.610441767068274,100.0,4.838709677419355,9.230769230769232,0.9986451612903225,0.9986541481588715,83.8
threshold,2,50,1,3,0.4979919678714859,LogReg,96.78714859437751,94.61538461538461,99.19354838709677,96.8503937007874,0.9989677419354839,0.9989885305382309,83.8
threshold,2,50,1,3,0.4979919678714859,RandomForest,97.18875502008032,95.34883720930233,99.19354838709677,97.23320158102767,0.9983870967741935,0.9983838843738653,83.8
threshold,2,50,1,3,0.4979919678714859,MLP,97.59036144578313,95.38461538461539,100.0,97.63779527559055,0.9990322580645161,0.9990400129806674,83.8
threshold,2,50,1,3,0.4979919678714859,GCN,91.16465863453816,89.84375,92.74193548387096,91.26984126984127,0.9779354838709677,0.978212792114585,83.8
threshold,2,50,1,3,0.4979919678714859,GraphSAGE,98.39357429718876,97.61904761904762,99.19354838709677,98.4,0.9990322580645161,0.9990537082002329,83.8
threshold,2,50,1,3,0.4979919678714859,GAT-LR,96.78714859437751,96.7741935483871,96.7741935483871,96.7741935483871,0.9827741935483871,0.9786218928429539,83.8
threshold,2,50,1,4,0.5020080321285141,Majority,49.79919678714859,0.0,0.0,0.0,0.5,0.5020080321285141,68.5
threshold,2,50,1,4,0.5020080321285141,Degree,53.41365461847389,100.0,7.199999999999999,13.432835820895523,0.9763548387096774,0.9775442215097089,68.5
threshold,2,50,1,4,0.5020080321285141,Eigenvector,52.208835341365464,100.0,4.8,9.16030534351145,0.9951612903225807,0.9950308033922239,68.5
threshold,2,50,1,4,0.5020080321285141,LogReg,98.39357429718876,99.1869918699187,97.6,98.38709677419355,0.9991612903225807,0.9991739267752793,68.5
threshold,2,50,1,4,0.5020080321285141,RandomForest,96.78714859437751,97.5609756097561,96.0,96.7741935483871,0.9973870967741936,0.9972570395635031,68.5
threshold,2,50,1,4,0.5020080321285141,MLP,98.79518072289156,99.19354838709677,98.4,98.79518072289156,0.9989032258064516,0.9988647879278342,68.5
threshold,2,50,1,4,0.5020080321285141,GCN,87.95180722891565,83.21678321678321,95.19999999999999,88.80597014925374,0.962258064516129,0.968007578467891,68.5
threshold,2,50,1,4,0.5020080321285141,GraphSAGE,97.18875502008032,99.16666666666667,95.19999999999999,97.14285714285714,0.9989677419354839,0.9989655646055623,68.5
threshold,2,50,1,4,0.5020080321285141,GAT-LR,97.59036144578313,100.0,95.19999999999999,97.54098360655738,0.9967741935483871,0.997069695522841,68.5
threshold,2,50,2,0,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,69.4
threshold,2,50,2,0,0.4979919678714859,Degree,51.40562248995983,100.0,2.4193548387096775,4.724409448818897,0.9820967741935483,0.9820272353813534,69.4
threshold,2,50,2,0,0.4979919678714859,Eigenvector,53.01204819277109,100.0,5.64516129032258,10.687022900763358,0.9968387096774194,0.9968442614065923,69.4
threshold,2,50,2,0,0.4979919678714859,LogReg,96.78714859437751,97.54098360655738,95.96774193548387,96.7479674796748,0.9978064516129033,0.9978669772483404,69.4
threshold,2,50,2,0,0.4979919678714859,RandomForest,97.99196787148594,97.6,98.38709677419355,97.99196787148594,0.9989032258064516,0.9989322399479463,69.4
threshold,2,50,2,0,0.4979919678714859,MLP,97.59036144578313,98.36065573770492,96.7741935483871,97.5609756097561,0.9983225806451612,0.9983004382678353,69.4
threshold,2,50,2,0,0.4979919678714859,GCN,89.1566265060241,85.92592592592592,93.54838709677419,89.57528957528957,0.9805806451612903,0.984153168538233,69.4
threshold,2,50,2,0,0.4979919678714859,GraphSAGE,97.99196787148594,97.6,98.38709677419355,97.99196787148594,0.9981290322580645,0.9980061568524715,69.4
threshold,2,50,2,0,0.4979919678714859,GAT-LR,96.78714859437751,98.33333333333333,95.16129032258065,96.72131147540983,0.9952903225806452,0.995761224838329,69.4
threshold,2,50,2,1,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,71.1
threshold,2,50,2,1,0.4979919678714859,Degree,55.42168674698795,100.0,10.483870967741936,18.97810218978102,0.9886774193548387,0.9877927691691495,71.1
threshold,2,50,2,1,0.4979919678714859,Eigenvector,55.020080321285135,100.0,9.67741935483871,17.647058823529413,0.9975483870967742,0.997494487712135,71.1
threshold,2,50,2,1,0.4979919678714859,LogReg,96.78714859437751,98.33333333333333,95.16129032258065,96.72131147540983,0.9987096774193548,0.9987109725010953,71.1
threshold,2,50,2,1,0.4979919678714859,RandomForest,96.3855421686747,97.52066115702479,95.16129032258065,96.3265306122449,0.9976774193548388,0.997618596394243,71.1
threshold,2,50,2,1,0.4979919678714859,MLP,97.18875502008032,98.34710743801654,95.96774193548387,97.14285714285714,0.9988387096774193,0.9988439220172111,71.1
threshold,2,50,2,1,0.4979919678714859,GCN,85.54216867469879,81.88405797101449,91.12903225806451,86.25954198473282,0.9529032258064516,0.9563335825194474,71.1
threshold,2,50,2,1,0.4979919678714859,GraphSAGE,97.18875502008032,99.15966386554622,95.16129032258065,97.11934156378601,0.9990967741935484,0.9990907811761605,71.1
threshold,2,50,2,1,0.4979919678714859,GAT-LR,97.18875502008032,97.5609756097561,96.7741935483871,97.16599190283401,0.9920645161290322,0.988263775950619,71.1
threshold,2,50,2,2,0.4979919678714859,Majority,50.20080321285141,0.0,0.0,0.0,0.5,0.4979919678714859,70.3
threshold,2,50,2,2,0.4979919678714859,Degree,51.00401606425703,100.0,1.6129032258064515,3.1746031746031744,0.9825806451612903,0.9818634296783705,70.3
