experiment,rep,fold,model,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
sfari,1,4,Degree,80.8695652173913,100.0,8.333333333333332,15.384615384615385,0.6451465201465202,0.4393236086141493,66.4
sfari,1,4,Eigenvector,80.43478260869566,66.66666666666666,12.5,21.052631578947366,0.6699862637362638,0.4467009727637617,66.4
sfari,1,4,SFARI reports (diagnostic),84.78260869565217,84.21052631578947,33.33333333333333,47.76119402985074,0.7902930402930401,0.6862436526415208,66.4
sfari,1,4,LogReg,66.52173913043478,32.098765432098766,54.166666666666664,40.310077519379846,0.6635760073260074,0.45341216463906087,66.4
sfari,1,4,RandomForest,76.95652173913044,43.58974358974359,35.41666666666667,39.08045977011494,0.6160714285714286,0.37178361352235795,66.4
sfari,1,4,MLP,76.95652173913044,40.0,20.833333333333336,27.397260273972602,0.6221382783882784,0.3463405363995283,66.4
sfari,1,4,GCN,60.86956521739131,30.909090909090907,70.83333333333334,43.037974683544306,0.7147435897435898,0.36804763380566996,66.4
sfari,1,4,GraphSAGE,70.43478260869566,35.714285714285715,52.083333333333336,42.3728813559322,0.6483516483516484,0.38731808902530074,66.4
sfari,1,4,GAT-LR,64.78260869565217,33.33333333333333,68.75,44.89795918367347,0.7082188644688645,0.36598868334754586,66.4
sfari,1,3,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,66.8
sfari,1,3,Degree,79.56521739130434,60.0,6.25,11.320754716981133,0.6548763736263736,0.36049158484958155,66.8
sfari,1,3,Eigenvector,78.69565217391305,42.857142857142854,6.25,10.909090909090908,0.666437728937729,0.36434200054125027,66.8
sfari,1,3,SFARI reports (diagnostic),80.8695652173913,100.0,8.333333333333332,15.384615384615385,0.7697458791208791,0.6476435801129992,66.8
sfari,1,3,LogReg,66.52173913043478,29.577464788732392,43.75,35.294117647058826,0.6692994505494506,0.3565041165271586,66.8
sfari,1,3,RandomForest,69.1304347826087,27.450980392156865,29.166666666666668,28.28282828282828,0.6069139194139196,0.28922875122832753,66.8
sfari,1,3,MLP,76.08695652173914,31.57894736842105,12.5,17.91044776119403,0.6500686813186813,0.3277596021473173,66.8
sfari,1,3,GCN,68.26086956521739,34.5679012345679,58.333333333333336,43.41085271317829,0.7266483516483516,0.3896350202245268,66.8
sfari,1,3,GraphSAGE,70.86956521739131,38.55421686746988,66.66666666666666,48.854961832061065,0.7324862637362638,0.4145713376175909,66.8
sfari,1,3,GAT-LR,60.86956521739131,32.20338983050847,79.16666666666666,45.78313253012048,0.7081043956043955,0.3201417341224432,66.8
sfari,1,2,Majority,79.13043478260869,0.0,0.0,0.0,0.5,0.20869565217391303,67.6
sfari,1,2,Degree,79.13043478260869,50.0,6.25,11.11111111111111,0.6396520146520146,0.3475730095628864,67.6
sfari,1,2,Eigenvector,80.0,66.66666666666666,8.333333333333332,14.814814814814813,0.6891025641025641,0.40373148705547,67.6
