gene,ic,label,degree,score_LogReg,score_RandomForest,score_GradBoost,score_MLP,score_GCN,score_GraphSAGE,score_GAT-LR,sfari_score,eagle,syndromic
PLN,0.0087389558232931,0,9,2.5363609894530178e-05,0.0,0.00015344382402887157,1.7878860323042225e-07,0.017502555043718178,0.0055658971521288835,0.025840559066182323,2.0,,0.0
POMGNT1,0.0134698795180722,0,9,8.749925111791845e-05,0.0005,0.00015975165417243437,7.157249193929397e-07,0.018393001478756332,0.01482085982945577,0.025818434906398124,1.0,1.0,1.0
RALGAPB,0.03029718875502,0,19,0.007892550875839137,0.0,0.00018589579108275854,5.980462832206477e-05,0.5558551698923111,0.025837116526574277,0.025771853543119505,1.0,,0.0
HIVEP2,0.0071325301204819,0,4,9.703768808587336e-06,0.0,0.00017216216534021413,2.165061758691702e-07,0.12488814210519195,0.0011230424258441693,0.025770869253343334,1.0,,1.0
DIP2A,0.0052208835341365,0,4,3.924708978987402e-06,0.0,0.00014176929995461353,2.3850488707428665e-08,0.041858126045553945,0.011130212743854173,0.02575180065468885,1.0,18.2,0.0
DPP4,0.0226746987951807,0,17,0.0026792789182669054,0.0,0.00014607970394274282,1.3388185100443009e-05,0.24261320009827614,0.006697369493508631,0.025608000928736212,2.0,,0.0
TDO2,0.0073493975903614,0,9,2.3444527751680727e-05,0.0,0.00014825190535544747,1.6595453761701497e-06,0.0652927983283007,0.010572161805055288,0.025587175705926023,2.0,,0.0
TSPYL2,0.0137590361445783,0,7,0.00018527037044245231,0.0,0.00012937238885414555,1.3909945491810625e-06,0.5069261565804482,0.008869314236562786,0.025585547702121403,3.0,,0.0
DYDC1,0.0183534136546184,0,9,0.0004826782651849727,0.0,0.00013663261611157715,1.4824986120084123e-05,0.1814663354307413,0.001797519832634805,0.0255642008239099,2.0,,0.0
MDGA1,0.023429718875502,0,13,0.000533298070838338,0.0,0.00015482683012015412,7.17242663673124e-06,0.4850830063223839,2.5816515505546966e-05,0.02546779299245827,3.0,,0.0
GRK4,0.0055341365461847,0,4,3.2472541335697645e-06,0.0,0.0001487110468401367,1.037346415635936e-08,0.15554297342896461,0.0023955529696427697,0.025459093325617688,2.0,,0.0
YEATS2,0.0390200803212851,0,21,0.07445830628186753,0.016,0.0003199054208224586,0.0008995142582113062,0.597434863448143,0.01986849777036115,0.025443027722582195,2.0,,0.0
VSIG4,0.0028915662650602,0,3,8.816890528839183e-07,0.0,0.00015412106189456416,5.418227801285592e-10,0.021722150908317417,0.002131178250343036,0.025391017413760163,2.0,,0.0
VEZF1,0.0012610441767068,0,1,6.663840352269164e-08,0.0,0.00012901361655147858,7.596056885842101e-09,0.015103226667633862,0.0020124780038515066,0.02538826811676971,1.0,0.5,0.0
SLC25A27,0.0036064257028112,0,1,1.3814135063345195e-06,0.0,0.00015468341250400914,2.241622992954401e-09,0.05296169449002264,0.007215082393375002,0.02536628535148866,2.0,,0.0
JMJD1C,0.0426586345381526,0,26,0.21931485754599264,0.109,0.003629273951658722,0.014976931653489251,0.7511026412248611,0.03514520325529702,0.025346823355525405,2.0,,0.0
TRIM32,0.0192610441767068,0,14,0.0009712916214518644,0.0,0.00014917170070628366,1.3467522138248353e-06,0.01384667667664043,0.02342615502152512,0.025185357676052254,3.0,,0.0
LZTR1,0.0358875502008032,0,16,0.013821376814980609,0.003,0.00013870209043293373,0.00013825851860551735,0.544763557612896,0.001165630000251383,0.02513278669655694,1.0,,0.0
ASTN1,0.0101204819277108,0,7,1.597496553870022e-05,0.0,0.000163647135105173,9.885661681933899e-08,0.1696168277412653,0.01377780198567869,0.025129308629255366,1.0,,0.0
EXOC5,0.0280963855421686,0,19,0.0075898328904163,0.0025,0.00015654841913475444,2.018564632807053e-05,0.041227080568205565,0.003467732565241022,0.025122147453657817,2.0,,0.0
IQGAP3,0.0187389558232931,0,12,0.0006181123548727099,0.0,0.00015895768151715604,3.8055909995742118e-06,0.014568864575267071,0.016459809578595965,0.02511750160192605,2.0,,0.0
TNS2,0.0069477911646586,0,4,2.0647440470244267e-05,0.0,0.00013745854649225664,4.545631724013817e-07,0.4453631192445755,0.007013779582250474,0.02508869481914111,3.0,,0.0
GPC6,0.0114779116465863,0,12,8.935314611611707e-05,0.0,0.00017598693170926293,1.3510619775390574e-06,0.05346691636077594,0.020535770162723566,0.02507444283270388,2.0,,0.0
RAB39B,0.0143373493975903,0,8,0.00019744424656861488,0.0,0.00014028327321904914,4.6028395405716497e-07,0.05139296711422503,0.0019187193884085286,0.025062529441456205,2.0,,0.0
BCAS1,0.0067951807228915,0,3,2.1989396913393017e-05,0.0,0.00015092507966883546,1.3357424687722453e-07,0.058807089109905064,0.001676575113206659,0.025022522060226038,2.0,,0.0
USP9Y,0.0157510040160642,0,7,0.000274890759121008,0.0,0.0001375278930708554,1.6317163029314165e-06,0.36671527847647667,0.007469113681480621,0.024923483082943676,2.0,,0.0
NXPH1,0.0228273092369477,0,11,0.0004793277010718603,0.0005,0.00012357307449042574,6.643286857009425e-06,0.5636024624109268,0.01767308127864453,0.024828337402595935,2.0,,0.0
WDFY3,0.0476305220883534,0,29,0.3441560029821559,0.061,0.0025907351881858938,0.04127726182541549,0.6589047089219093,0.032254880759865046,0.024819111305987462,1.0,17.2,0.0
DNAJC5,0.032008032128514,0,21,0.010649200090787552,0.0005,0.00013364427601324303,9.948414154194156e-05,0.05316683556884527,0.004602232343131618,0.02478153705151165,3.0,,0.0
RIT2,0.0204257028112449,0,12,0.0004526531471822569,0.0,0.00015948946174751028,9.85540713021687e-07,0.16218161396682262,0.015009885536138245,0.024689508269517546,2.0,,0.0
ZNF711,0.0089236947791164,0,4,4.948378986069444e-05,0.0,0.00015411256850569484,4.971356183399467e-06,0.12491255160421133,0.009117040456063508,0.02467375832216297,2.0,4.25,0.0
KHDRBS2,0.0149718875502008,0,9,0.00013625238496997534,0.0,0.00015202251495505676,2.5940215071956314e-06,0.14878383837640285,0.002796284749230531,0.02454639989006535,2.0,,0.0
DST,0.0111967871485943,0,8,3.579550240599057e-05,0.0,0.00015250352226765305,2.566404655007398e-07,0.018616413658619768,0.010605864021903992,0.02453990135109052,2.0,,0.0
DGKI,0.0161044176706827,0,8,0.00012112206450491783,0.0,0.00015705471422701225,1.7681382518133378e-06,0.10558682773262262,0.002162656778935016,0.02443388524959665,3.0,,0.0
CHAMP1,0.0097991967871485,0,6,6.172234309725456e-05,0.0,0.0001643623115591467,7.687445385713403e-07,0.04649767931550741,0.0037367817250795075,0.024389237063587643,1.0,,1.0
DAGLA,0.0081927710843373,0,3,1.3471375509033682e-05,0.0,0.00014415067309756464,2.737966019214429e-06,0.19734054431319237,0.0022349995202717416,0.02429737904465424,2.0,,0.0
PUF60,0.0221927710843373,0,17,0.002078382656533783,0.0,0.00014162762638307517,2.404743555430147e-05,0.10831822827458382,0.023054980162310723,0.024263769446406513,3.0,,1.0
ATXN2,0.0445943775100401,0,31,0.23828362015787155,0.003,0.0001722175488056532,0.009836636560559414,0.6147064119577408,0.06457946007139981,0.02421729073194001,3.0,,0.0
CYP27B1,0.0274457831325301,0,15,0.004865138636789846,0.0,0.00015628612193829188,3.6549783897485774e-05,0.03211463183833985,0.017371959424004726,0.024102008643152206,,,
ASB11,0.0042489959839357,0,4,2.8881336061651313e-06,0.0,0.00016203469236676814,8.326044053610921e-09,0.03173428292788594,0.008562434514024275,0.0240890488314221,3.0,0.0,0.0
ZNF292,0.0373092369477911,0,30,0.07239334408366696,0.005,0.00014590332300019928,0.0008410887349941361,0.051602577144223005,0.017650939019404177,0.02407128733684111,1.0,,1.0
EPHB1,0.0225702811244979,0,16,0.0014692724685195066,0.0,0.0001637709603905446,3.418943793682704e-06,0.3892330750823021,0.003146401596338194,0.024033643856123277,3.0,,0.0
UBA7,0.0064257028112449,0,6,1.9083034502700613e-05,0.0,0.00014464536100393534,2.2265346277428394e-07,0.07225072756409645,0.009797950723017673,0.024031539912917323,2.0,,0.0
CDON,0.0161365461847389,0,8,0.0003759900878051772,0.0,0.00013536995446406194,2.42829554084297e-06,0.36531614139676094,0.01473311629918869,0.024015527131268755,3.0,,0.0
MACF1,0.0202329317269076,0,13,0.0008816209700976906,0.0,0.0001504395306348707,1.0800771943665979e-06,0.04246430587954819,0.0025847635746863037,0.023993330812329502,3.0,,1.0
EBF3,0.016,0,5,9.13058383793419e-05,0.0,0.00018268025849250087,4.809362217754192e-06,0.30647651851177216,0.009453816024430725,0.023992586892628676,1.0,9.75,1.0
MAPK8IP1,0.0204738955823293,0,14,0.0006554801289225432,0.0,0.0001370430772211517,2.243104083032489e-06,0.16657215543091297,0.003488469368762221,0.02389956310901087,3.0,,0.0
CELF6,0.0019437751004016,0,1,4.359706560460862e-07,0.0,0.0001655363584138913,1.2711831794471768e-08,0.046101427362373215,0.006045940292580432,0.02388188690363715,2.0,,0.0
PITX1,0.0059437751004016,0,6,8.959525798423949e-06,0.0,0.00015170352517539974,6.025313189191644e-08,0.029355535535163232,0.0022960125317473897,0.02381527702897961,2.0,,0.0
SNCAIP,0.0150200803212851,0,8,0.00033161022545969825,0.0,0.00012681950039387287,3.852230250602129e-06,0.5431861281394958,0.010440246784151548,0.023807298608517158,3.0,,0.0
ZNF462,0.0104016064257028,0,6,2.5591425037011066e-05,0.0,0.00016049932465213318,6.567338335310055e-07,0.03815364639740437,0.006940017801955446,0.023733933837995453,1.0,10.6,1.0
SPRY2,0.0270281124497991,0,12,0.0026041381681306233,0.0,0.00014022380796746691,2.930936708544828e-05,0.6246296241879463,0.02053187208510998,0.023716250003043296,2.0,,0.0
NR1D1,0.0236224899598393,0,12,0.000823298489040821,0.0005,0.00014623391277438007,5.842333051484625e-06,0.11923057772219181,0.015780758172843422,0.023710579698078035,2.0,,0.0
PCCA,0.0052449799196787,0,7,4.910308518532171e-06,0.0,0.00016021643974825945,1.7568037352172395e-08,4.172438726510186e-05,0.008944431901909413,0.023669960034927273,,,1.0
HACE1,0.0065140562248995,0,4,7.163669746409962e-06,0.0,0.00013819120175443235,2.909849731807079e-08,0.04917801308467684,0.006012893795810749,0.023584246973756058,3.0,,0.0
CCNK,0.0318072289156626,0,20,0.004625916593724538,0.001,0.00015578371464584152,6.524792203211974e-05,0.03417568469862997,0.029599815419089737,0.02345527513534762,,,1.0
DLX3,0.0058473895582329,0,4,1.1776501034849047e-05,0.0,0.00013579582175027058,2.104711402037815e-07,0.0073344875927492115,0.0021358041967116524,0.023382532293908305,2.0,,0.0
