experiment,rep,fold,model,choice,accuracy,precision,recall,f1,roc_auc,pr_auc,task_seconds
tuning,1,1,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",97.18875502008032,96.61016949152543,91.93548387096774,94.21487603305785,0.9968086941521477,0.9909499381822893,696.5
tuning,1,1,LogReg,{'C': 10.0},97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9978437122649647,0.9928594579445066,696.5
tuning,1,1,Degree,none,76.30522088353415,100.0,4.838709677419355,9.230769230769232,0.9935311367948939,0.9808663785830563,696.5
tuning,0,4,GAT-LR,"(0.01, 16, 4, 0.2, 300)",96.78714859437751,89.85507246376811,98.4126984126984,93.93939393939394,0.9977811913295784,0.9937537976567553,700.8
tuning,0,4,GraphSAGE,"(0.01, 8, 4, 0.2, 300)",99.19678714859438,100.0,96.82539682539682,98.38709677419355,0.9999146612049838,0.9997519841269842,700.8
tuning,0,4,MLP,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001}",97.99196787148594,98.33333333333333,93.65079365079364,95.9349593495935,0.9988905956647892,0.9968533419475429,700.8
tuning,0,4,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",97.99196787148594,98.33333333333333,93.65079365079364,95.9349593495935,0.9982078853046594,0.9951880396881123,700.8
tuning,0,4,LogReg,{'C': 10.0},99.19678714859438,96.92307692307692,100.0,98.4375,0.9996586448199352,0.9990155677655677,700.8
tuning,0,4,Degree,none,77.51004016064257,100.0,11.11111111111111,20.0,0.9943676395289299,0.9839755080127583,700.8
tuning,0,2,GAT-LR,"(0.01, 32, 4, 0.2, 300)",97.59036144578313,92.42424242424242,98.38709677419355,95.3125,0.9895635673624288,0.9601212240158934,716.5
tuning,0,2,GraphSAGE,"(0.005, 16, 4, 0.2, 300)",98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.999568742452993,0.9987435503564537,716.5
tuning,0,2,MLP,"{'hidden_layer_sizes': (32, 16), 'alpha': 0.01}",98.39357429718876,96.7741935483871,96.7741935483871,96.7741935483871,0.9994824909435914,0.9984507074026507,716.5
tuning,0,2,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",98.79518072289156,96.82539682539682,98.38709677419355,97.6,0.9995687424529929,0.9987195246069519,716.5
tuning,0,2,LogReg,{'C': 10.0},99.19678714859438,96.875,100.0,98.4126984126984,0.9993962394341901,0.9981948264043737,716.5
tuning,0,2,Degree,none,81.12449799196787,100.0,24.193548387096776,38.961038961038966,0.9981024667931688,0.9938695258831767,716.5
tuning,0,3,GAT-LR,"(0.01, 8, 8, 0.2, 300)",97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.9911160945316543,0.9586612613523872,735.2
tuning,0,3,GraphSAGE,"(0.01, 8, 4, 0.2, 300)",97.18875502008032,89.85507246376811,100.0,94.65648854961832,0.994393651888908,0.982621730309551,735.2
tuning,0,3,MLP,"{'hidden_layer_sizes': (32, 16), 'alpha': 0.0001}",96.3855421686747,92.06349206349206,93.54838709677419,92.80000000000001,0.9963774366051406,0.9892593100892787,735.2
tuning,0,3,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",96.78714859437751,90.9090909090909,96.7741935483871,93.75,0.997498706227359,0.9929914964360613,735.2
tuning,0,3,LogReg,{'C': 10.0},97.18875502008032,91.04477611940298,98.38709677419355,94.57364341085271,0.9969811971709505,0.9907207247322338,735.2
tuning,0,3,Degree,none,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9941348973607038,0.9809957509041166,735.2
tuning,0,1,GAT-LR,"(0.01, 8, 8, 0.2, 300)",97.99196787148594,92.53731343283582,100.0,96.12403100775194,0.9974124547179576,0.9896860051940933,741.5
tuning,0,1,GraphSAGE,"(0.05, 8, 4, 0.2, 300)",99.19678714859438,98.38709677419355,98.38709677419355,98.38709677419355,0.9959461790581334,0.9738233783079844,741.5
tuning,0,1,MLP,"{'hidden_layer_sizes': (32, 16), 'alpha': 0.01}",98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9994824909435915,0.9984995347394541,741.5
tuning,0,1,RandomForest,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",98.39357429718876,95.3125,98.38709677419355,96.82539682539682,0.9991374849059858,0.9975070649199796,741.5
