gene,ic_T1,ic_T2,ic_T3,ic_T4,ic_T5
CELF4,0.0017108433734939759,0.006939759036144578,0.059357429718875504,0.22821686746987951,0.48733333333333334
CELF6,0.0010441767068273093,0.0019437751004016065,0.017060240963855423,0.07762248995983936,0.12035341365461848
CEP135,0.0028835341365461846,0.008497991967871486,0.0391566265060241,0.2129156626506024,0.536859437751004
CEP290,0.0031566265060240964,0.008690763052208835,0.05808835341365462,0.23241767068273092,0.5356385542168675
CEP41,0.0014377510040160643,0.0032289156626506025,0.010546184738955824,0.04853012048192771,0.19714056224899598
CERT1,0.00121285140562249,0.0022008032128514056,0.010024096385542169,0.10422489959839358,0.23432128514056225
CGNL1,0.0015261044176706827,0.0037429718875502008,0.0281285140562249,0.1348433734939759,0.37089156626506026
CHAMP1,0.0017429718875502007,0.009799196787148594,0.0789718875502008,0.27309236947791166,0.4786104417670683
CHD1,0.012040160642570281,0.11283534136546185,0.4202489959839357,0.7105863453815261,0.8113092369477911
CHD2,0.002104417670682731,0.017526104417670683,0.1213574297188755,0.36692369477911646,0.6144658634538153
CHD3,0.010506024096385543,0.10096385542168675,0.40914859437751006,0.7193734939759037,0.8130763052208836
CHD4,0.019196787148594376,0.14403212851405622,0.45505220883534137,0.7374056224899599,0.8147871485943775
CHD7,0.006859437751004016,0.0774859437751004,0.36567871485943776,0.6871807228915663,0.8022730923694779
CHD8,0.018313253012048194,0.17621686746987952,0.5570120481927711,0.770859437751004,0.820417670682731
CHD9,0.005261044176706827,0.055204819277108436,0.2660963855421687,0.6055983935742972,0.7795100401606426
CHKB,0.0011646586345381525,0.0024738955823293174,0.015269076305220883,0.12383935742971887,0.2638714859437751
CHM,0.003389558232931727,0.011453815261044177,0.07588755020080322,0.324144578313253,0.6260642570281124
CHMP1A,0.001140562248995984,0.0018795180722891566,0.005646586345381526,0.03591164658634538,0.0773012048192771
CHRM3,0.0019437751004016065,0.010867469879518072,0.07885140562248996,0.29853815261044175,0.5305220883534136
CHRNA7,0.0014056224899598394,0.005678714859437751,0.03493172690763052,0.16839357429718876,0.34795180722891567
CHRNB3,0.001718875502008032,0.007566265060240964,0.04563855421686747,0.20534939759036144,0.4115180722891566
CIB2,0.002240963855421687,0.013228915662650602,0.09030522088353414,0.3373172690763052,0.5770682730923695
CIC,0.0010923694779116466,0.002273092369477912,0.008514056224899598,0.07710843373493977,0.16409638554216868
CLASP1,0.0019196787148594377,0.007558232931726907,0.05440160642570281,0.24312449799196786,0.43446586345381527
CLCN4,0.0017028112449799196,0.004883534136546185,0.02971887550200803,0.18395180722891566,0.4136144578313253
CLIP2,0.0016144578313253013,0.00672289156626506,0.02801606425702811,0.2015421686746988,0.41393574297188757
CLN8,0.001502008032128514,0.003943775100401606,0.025012048192771086,0.09065060240963856,0.2610281124497992
CLTC,0.009823293172690763,0.08479518072289156,0.4154377510040161,0.7348755020080321,0.8140160642570281
CLTCL1,0.0054779116465863455,0.03818473895582329,0.26713253012048194,0.6233012048192771,0.7893172690763052
CMIP,0.0022971887550200802,0.012883534136546184,0.09940562248995984,0.32279518072289154,0.5949477911646587
CMPK2,0.0014939759036144578,0.0035100401606425703,0.011269076305220883,0.07085943775100402,0.20553413654618474
CNGB3,0.0017991967871485944,0.004763052208835342,0.022120481927710843,0.131855421686747,0.3490763052208835
CNKSR2,0.004321285140562249,0.04666666666666667,0.2897991967871486,0.6379277108433735,0.7877991967871486
CNOT1,0.0061526104417670684,0.053590361445783136,0.28881124497991967,0.6365863453815261,0.7871084337349398
CNOT3,0.0038795180722891566,0.03224899598393574,0.19646586345381525,0.5336947791164659,0.7530602409638554
CNR1,0.005823293172690763,0.06240963855421687,0.33190361445783134,0.6721686746987952,0.7993333333333333
CNTN3,0.002273092369477912,0.016650602409638553,0.0901285140562249,0.3425622489959839,0.5715341365461848
CNTN4,0.00795983935742972,0.06176706827309237,0.30579116465863454,0.6465381526104418,0.7965542168674699
CNTN5,0.0026345381526104417,0.01491566265060241,0.09543775100401607,0.31828112449799195,0.5943132530120482
CNTN6,0.0026907630522088354,0.020899598393574297,0.15248192771084337,0.4555421686746988,0.6871646586345381
CNTNAP2,0.01567871485943775,0.1251566265060241,0.45067469879518074,0.7413734939759036,0.8165381526104417
CNTNAP3,0.0009879518072289156,0.0012530120481927711,0.002891566265060241,0.029477911646586346,0.06857831325301204
CNTNAP4,0.0034136546184738957,0.021662650602409638,0.12885140562248995,0.40286746987951805,0.7013815261044176
CNTNAP5,0.0022329317269076305,0.011823293172690763,0.07841767068273092,0.296289156626506,0.5492771084337349
COL12A1,0.002353413654618474,0.006449799196787148,0.04869879518072289,0.26467469879518074,0.4464819277108434
COL28A1,0.0011566265060240963,0.001542168674698795,0.003542168674698795,0.016562248995983936,0.09504417670682731
CORO1A,0.0027309236947791163,0.021140562248995985,0.13004819277108434,0.3962008032128514,0.6851244979919678
CPEB4,0.0021285140562248995,0.01776706827309237,0.1378714859437751,0.39319678714859435,0.6008915662650602
CPSF7,0.004032128514056225,0.029526104417670684,0.1769397590361446,0.49981526104417673,0.7562971887550201
CPT2,0.0026265060240963857,0.015397590361445784,0.10063453815261045,0.3510522088353414,0.5599116465863454
CPZ,0.0009317269076305221,0.0011726907630522088,0.0015742971887550202,0.005566265060240964,0.013309236947791165
CREBBP,0.02353413654618474,0.18277911646586345,0.5465943775100401,0.7683373493975904,0.8220803212851405
CRMP1,0.0036144578313253013,0.016843373493975904,0.11725301204819277,0.40434538152610444,0.668289156626506
CSDE1,0.00497991967871486,0.045662650602409635,0.26436144578313253,0.6342168674698795,0.7859116465863454
CSMD1,0.005060240963855421,0.03426506024096385,0.19250602409638554,0.5618072289156627,0.737285140562249
CSMD2,0.0009799196787148594,0.001244979919678715,0.003678714859437751,0.017566265060240963,0.039421686746987955
CSMD3,0.003975903614457831,0.02495582329317269,0.18050602409638555,0.560144578313253,0.7577670682730924
CSNK1E,0.0034859437751004014,0.03207228915662651,0.21247389558232932,0.5500883534136546,0.7294377510040161
CSNK1G1,0.0013092369477911646,0.011975903614457831,0.061903614457831324,0.1451164658634538,0.2629397590361446
CSNK2A1,0.009983935742971888,0.10159036144578314,0.42861044176706825,0.7206506024096385,0.8125060240963855
CSNK2B,0.005879518072289157,0.055967871485943774,0.28363052208835343,0.6691807228915663,0.7894056224899598
CTCF,0.015244979919678716,0.1479839357429719,0.49777510040160644,0.7549236947791165,0.8169156626506024
CTNNA2,0.005598393574297189,0.0473574297188755,0.2974939759036145,0.655012048192771,0.7982088353413654
CTNNA3,0.00514859437751004,0.0663855421686747,0.3280722891566265,0.6763694779116466,0.7968192771084337
CTNNB1,0.03546184738955823,0.26696385542168677,0.654273092369478,0.7977911646586345,0.8262489959839358
CTNND1,0.005831325301204819,0.05424899598393574,0.30419277108433734,0.6723775100401607,0.7980481927710843
CTNND2,0.004867469879518072,0.04412048192771084,0.26356626506024095,0.6158634538152611,0.7952128514056225
CTPS1,0.0035502008032128516,0.017349397590361446,0.11062650602409639,0.3865461847389558,0.6766345381526104
CTR9,0.006345381526104418,0.06126104417670683,0.30325301204819277,0.6362971887550201,0.7956465863453815
CTTNBP2,0.003493975903614458,0.03126907630522088,0.18997590361445782,0.5619196787148595,0.7626827309236948
CUL2,0.005261044176706827,0.04818473895582329,0.29571887550200804,0.6441526104417671,0.794425702811245
CUL3,0.010441767068273093,0.09975903614457832,0.4328995983935743,0.7376224899598394,0.8139277108433735
CUL4B,0.006642570281124498,0.07089156626506024,0.3595261044176707,0.6924819277108434,0.8079437751004016
CUL7,0.009686746987951807,0.06757429718875502,0.3606907630522088,0.687156626506024,0.8053895582329317
CUX1,0.0067951807228915665,0.06023293172690763,0.33881927710843374,0.6762168674698795,0.8027469879518072
CUX2,0.00485140562248996,0.02506024096385542,0.15693975903614457,0.5129477911646586,0.7466586345381526
CX3CR1,0.0031325301204819275,0.025196787148594378,0.17212048192771084,0.4650843373493976,0.6906666666666667
CXXC5,0.0013654618473895582,0.0057028112449799195,0.06457028112449799,0.1851887550200803,0.43094779116465864
CYFIP1,0.010040160642570281,0.0914859437751004,0.4338875502008032,0.72829718875502,0.8148032128514057
CYFIP2,0.0035823293172690764,0.04299598393574297,0.24997590361445785,0.6208995983935743,0.7722730923694779
CYLC2,0.0013413654618473895,0.001285140562248996,0.0013333333333333333,0.001502008032128514,0.0015261044176706827
CYP11B1,0.0020562248995983938,0.00908433734939759,0.05208835341365462,0.2517028112449799,0.4678875502008032
CYP27A1,0.0012931726907630522,0.00193574297188755,0.004931726907630522,0.03682730923694779,0.12514056224899597
CYP27B1,0.003357429718875502,0.02744578313253012,0.20033734939759038,0.4920562248995984,0.6967710843373494
