stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000159111	9606.ENSP00000395929	KDM4B	NSD1	9606	0.43	0	0	0	0.06	0	0	0.418
9606.ENSP00000159111	9606.ENSP00000377958	KDM4B	CCT4	9606	0.433	0	0	0	0	0.433	0	0
9606.ENSP00000159111	9606.ENSP00000262519	KDM4B	SETD1A	9606	0.436	0	0	0	0.063	0	0	0.423
9606.ENSP00000159111	9606.ENSP00000364550	KDM4B	KDM5C	9606	0.455	0	0	0	0.197	0.07	0	0.329
9606.ENSP00000159111	9606.ENSP00000381657	KDM4B	DOT1L	9606	0.468	0	0	0	0.066	0	0	0.454
9606.ENSP00000159111	9606.ENSP00000398837	KDM4B	KMT2B	9606	0.476	0	0	0	0.245	0	0	0.335
9606.ENSP00000159111	9606.ENSP00000440542	KDM4B	CHD4	9606	0.478	0	0	0	0.056	0.053	0	0.464
9606.ENSP00000159111	9606.ENSP00000395535	KDM4B	MECP2	9606	0.486	0	0	0	0.06	0	0	0.476
9606.ENSP00000159111	9606.ENSP00000386759	KDM4B	SETD2	9606	0.501	0	0	0	0.049	0	0	0.497
9606.ENSP00000159111	9606.ENSP00000417980	KDM4B	EHMT1	9606	0.502	0	0	0	0.067	0	0	0.488
9606.ENSP00000159111	9606.ENSP00000261609	KDM4B	HERC2	9606	0.507	0	0	0	0.055	0	0.5	0
9606.ENSP00000159111	9606.ENSP00000351446	KDM4B	WDR5	9606	0.512	0	0	0	0	0.327	0	0.305
9606.ENSP00000159111	9606.ENSP00000352185	KDM4B	PHF2	9606	0.512	0	0	0	0.067	0.066	0	0.485
9606.ENSP00000159111	9606.ENSP00000262189	KDM4B	KMT2C	9606	0.517	0	0	0	0.049	0.292	0	0.341
9606.ENSP00000159111	9606.ENSP00000271640	KDM4B	SETDB1	9606	0.537	0	0	0	0.06	0	0	0.528
9606.ENSP00000159111	9606.ENSP00000341280	KDM4B	JARID2	9606	0.54	0	0	0	0.048	0.07	0	0.522
9606.ENSP00000159111	9606.ENSP00000297792	KDM4B	KDM1B	9606	0.549	0	0	0	0.075	0.069	0	0.519
9606.ENSP00000159111	9606.ENSP00000305790	KDM4B	SF3B3	9606	0.559	0	0	0	0	0	0	0.559
9606.ENSP00000159111	9606.ENSP00000350676	KDM4B	PHF8	9606	0.582	0	0	0	0.062	0.066	0	0.561
9606.ENSP00000159111	9606.ENSP00000377060	KDM4B	CBX1	9606	0.593	0	0	0	0	0.099	0	0.566
9606.ENSP00000159111	9606.ENSP00000495360	KDM4B	CTNNB1	9606	0.607	0	0	0	0	0	0	0.607
9606.ENSP00000159111	9606.ENSP00000367203	KDM4B	KDM6A	9606	0.653	0	0	0	0.062	0.07	0	0.633
9606.ENSP00000159111	9606.ENSP00000301067	KDM4B	KMT2D	9606	0.654	0	0	0	0.067	0.292	0	0.519
9606.ENSP00000159111	9606.ENSP00000432786	KDM4B	KDM2A	9606	0.659	0	0	0	0.064	0.066	0	0.641
9606.ENSP00000159111	9606.ENSP00000372351	KDM4B	NSD2	9606	0.674	0	0	0	0	0	0.5	0.376
9606.ENSP00000159111	9606.ENSP00000383042	KDM4B	KDM1A	9606	0.725	0	0	0	0.105	0.091	0	0.689
9606.ENSP00000159111	9606.ENSP00000476136	KDM4B	H2BC11	9606	0.727	0	0	0	0	0.094	0.5	0.446
9606.ENSP00000159111	9606.ENSP00000326563	KDM4B	KDM3B	9606	0.734	0	0	0	0.109	0	0	0.714
9606.ENSP00000159111	9606.ENSP00000254846	KDM4B	KDM6B	9606	0.758	0	0	0	0.101	0.07	0	0.733
9606.ENSP00000159111	9606.ENSP00000254810	KDM4B	H3-3B	9606	0.773	0	0	0	0.043	0.095	0.5	0.537
9606.ENSP00000159111	9606.ENSP00000366271	KDM4B	KDM2B	9606	0.779	0	0	0	0.06	0.066	0	0.768
9606.ENSP00000159111	9606.ENSP00000343896	KDM4B	SMARCA4	9606	0.783	0	0	0	0.082	0.095	0	0.76
9606.ENSP00000159111	9606.ENSP00000386660	KDM4B	KDM3A	9606	0.837	0	0	0	0.049	0	0	0.836
9606.ENSP00000159111	9606.ENSP00000382204	KDM4B	JMJD1C	9606	0.952	0	0	0	0.049	0	0	0.952
9606.ENSP00000160373	9606.ENSP00000295888	CTTNBP2	WDFY3	9606	0.401	0	0	0	0.067	0	0	0.384
9606.ENSP00000160373	9606.ENSP00000262879	CTTNBP2	RALGAPB	9606	0.405	0	0	0	0	0	0	0.405
9606.ENSP00000160373	9606.ENSP00000369325	CTTNBP2	CDKL5	9606	0.407	0	0	0	0	0	0	0.407
9606.ENSP00000160373	9606.ENSP00000395535	CTTNBP2	MECP2	9606	0.419	0	0	0	0	0	0	0.419
