gene,sfari_symbols,sfari_score,eagle,syndromic,n_reports
EP400,EP400,2.0,,0,15
EPC2,EPC2,2.0,,0,6
EPHA1,EPHA1,2.0,,0,9
EPHB1,EPHB1,3.0,,0,11
EPHB2,EPHB2,2.0,,0,11
EPPK1,EPPK1,2.0,,0,11
ERBIN,ERBIN,2.0,,0,9
ERG,ERG,2.0,,0,1
ERMN,ERMN,2.0,,0,2
ESR2,ESR2,2.0,,0,10
ESRRB,ESRRB,2.0,,0,9
ETFB,ETFB,2.0,,0,7
EXOC3,EXOC3,2.0,,0,3
EXOC5,EXOC5,2.0,,0,2
EXOC6,EXOC6,2.0,,0,3
EXOC6B,EXOC6B,2.0,,0,5
EXT1,EXT1,2.0,,0,8
FABP4,FABP4,3.0,,0,3
FABP5,FABP5,2.0,,0,8
FAM47A,FAM47A,2.0,0.45,0,2
FAM53C,FAM53C,3.0,,0,5
FAM98C,FAM98C,2.0,,0,4
FAN1,FAN1,2.0,,0,7
FAT1,FAT1,2.0,,0,15
FBN1,FBN1,2.0,,0,20
FBRSL1,FBRSL1,,,1,6
FBXL13,FBXL13,3.0,,0,4
FBXO11,FBXO11,2.0,,1,21
FBXO33,FBXO33,2.0,,0,6
FBXO40,FBXO40,2.0,,0,7
FEZF2,FEZF2,2.0,,0,12
FGA,FGA,2.0,,0,6
FGF13,FGF13,3.0,,1,4
FGF14,FGF14,3.0,,0,2
FGFR1,FGFR1,2.0,,0,5
FHIT,FHIT,2.0,,0,12
FLNA,FLNA,3.0,,0,14
FMR1,FMR1,1.0,,1,78
FOXG1,FOXG1,1.0,5.7,1,69
FOXP1,FOXP1,1.0,60.45,1,95
FOXP2,FOXP2,1.0,,0,63
FRG1,FRG1,2.0,,0,3
FRK,FRK,2.0,,0,3
FRMD5,FRMD5,3.0,,1,7
FRMPD4,FRMPD4,,,1,14
FRRS1L,FRRS1L,3.0,,0,2
FRYL,FRYL,3.0,,1,11
FXN,FXN,3.0,,0,2
G3BP2,G3BP2,2.0,,0,7
GABBR2,GABBR2,2.0,,1,19
GABRA2,GABRA2,3.0,,0,8
GABRA3,GABRA3,,,1,3
GABRA4,GABRA4,2.0,,0,11
GABRB2,GABRB2,1.0,0.3,0,7
GABRB3,GABRB3,1.0,,0,54
GABRG2,GABRG2,3.0,,0,12
GABRG3,GABRG3,2.0,,0,13
GALNT10,GALNT10,2.0,,0,7
GALNT13,GALNT13,2.0,,0,6
GALNT14,GALNT14,2.0,,0,7
GALNT2,GALNT2,,,1,8
GALNT8,GALNT8,2.0,,0,4
GAS2,GAS2,2.0,,0,1
GATM,GATM,,,1,3
GBE1,GBE1,2.0,,0,5
GDA,GDA,2.0,,0,4
GFAP,GFAP,1.0,0.3,0,3
GGNBP2,GGNBP2,2.0,,0,3
GIGYF1,GIGYF1,1.0,17.25,0,23
GIGYF2,GIGYF2,1.0,,0,12
GLI3,GLI3,3.0,,0,7
GLIS1,GLIS1,2.0,,0,3
GLO1,GLO1,2.0,,0,10
GLRA2,GLRA2,2.0,,0,18
GLS,GLS,3.0,,0,6
GNAI1,GNAI1,1.0,2.1,1,8
GNAS,GNAS,2.0,,0,11
GNB1L,GNB1L,2.0,,0,3
GNB2,GNB2,,,1,8
GPC4,GPC4,2.0,,0,3
GPC5,GPC5,3.0,,0,9
GPC6,GPC6,2.0,,0,8
GPD2,GPD2,2.0,,0,6
GPHN,GPHN,2.0,,0,11
GPR37,GPR37,2.0,,0,3
GPR85,GPR85,2.0,,0,7
GRB10,GRB10,3.0,,0,13
GRIA1,GRIA1,2.0,,0,16
GRIA2,GRIA2,1.0,12.0,0,18
GRIA3,GRIA3,,,1,19
GRID1,GRID1,2.0,,0,7
GRID2,GRID2,2.0,,0,12
GRID2IP,GRID2IP,2.0,,0,5
GRIK2,GRIK2,2.0,,0,25
GRIK3,GRIK3,2.0,,0,8
GRIK4,GRIK4,2.0,,0,8
GRIK5,GRIK5,2.0,,0,12
GRIN1,GRIN1,1.0,,0,37
GRIN2A,GRIN2A,1.0,3.6,0,78
GRIN2B,GRIN2B,1.0,29.65,0,99
GRIP1,GRIP1,2.0,,0,17
GRK4,GRK4,2.0,,0,6
GRM5,GRM5,2.0,,0,13
GRM7,GRM7,2.0,,0,20
GSE1,GSE1,2.0,,0,8
GSPT2,GSPT2,3.0,,0,5
GSTM1,GSTM1,2.0,,0,3
GTF2I,GTF2I,2.0,,0,13
GUCY1A2,GUCY1A2,2.0,,0,5
H1-4,H1-4,,,1,11
H2BC11,H2BC11,2.0,,0,3
H3-3B,H3-3B,3.0,,1,8
