gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,degree
ATP1A1,0.012057877813504822,0.0010791058561875815,0.37023809523809526,0.00835953818198788,0.21904761904761905,15
ATP1A3,0.02009646302250804,0.0017227387736080276,0.3804281345565749,0.012539845498175889,0.25333333333333335,25
ATP2B1,0.013665594855305467,0.0009040273374538845,0.3659899970579582,0.007644483873748865,0.17647058823529413,17
ATP2B2,0.0297427652733119,0.001973894230431479,0.3915643689014794,0.020592033696175883,0.25975975975975973,37
ATP6V0A2,0.002411575562700965,1.972575469944613e-05,0.29485660109030576,0.0006913795682745737,0.0,3
ATP9A,0.002411575562700965,4.981598444934371e-05,0.2607419828128275,8.122807316240013e-05,0.3333333333333333,3
ATRX,0.07877813504823152,0.006706302495351024,0.4389555398729711,0.09644825842732162,0.24321481169787504,98
ATXN2,0.02491961414790997,0.0024329671335170345,0.381010719754977,0.015400841146751996,0.26881720430107525,31
AUTS2,0.03215434083601286,0.0025791677726550084,0.4006441223832528,0.025626270623302364,0.23461538461538461,40
AVPR1A,0.01045016077170418,8.787493322943502e-05,0.344884945938453,0.0054674261705139,0.38461538461538464,13
AVPR1B,0.007234726688102894,2.7142022581392782e-05,0.33731019522776573,0.004146820098387723,0.5,9
AZGP1,0.005627009646302251,0.0016779777721000412,0.31092226943264184,0.0009353012804644808,0.09523809523809523,7
BACE1,0.02652733118971061,0.0013673474873408485,0.40627041149575444,0.02557075016741194,0.3371212121212121,33
BAIAP2L1,0.012057877813504822,0.000816459453340137,0.3709004174120453,0.009727383515944286,0.4095238095238095,15
BAZ2B,0.007234726688102894,1.3032418526141739e-05,0.337584803256445,0.010127536435575683,0.4166666666666667,9
BBS4,0.01045016077170418,0.0004928059241529975,0.3432671081677704,0.0027794020268662105,0.1282051282051282,13
BCAS1,0.002411575562700965,8.775742795011085e-06,0.3268523384130321,0.0027748135632551635,0.3333333333333333,3
BCKDK,0.008842443729903537,0.0006305620618960476,0.3502252252252252,0.006666077346688316,0.07272727272727272,11
BCL11A,0.027331189710610933,0.0008350977852038704,0.39045825486503455,0.030887719197685053,0.29411764705882354,34
BCL11B,0.04019292604501608,0.002824094008488165,0.4028497409326425,0.0383757908248315,0.26448979591836735,50
BCORL1,0.016881028938906754,0.00014458172235671656,0.37267825044937086,0.02124821591697323,0.5190476190476191,21
BICDL1,0.002411575562700965,1.9702195842806817e-05,0.3388722418959412,0.002809814730123286,0.6666666666666666,3
BICRA,0.00964630225080386,1.6676593939881316e-06,0.36078886310904873,0.01613997210290552,0.9090909090909091,12
BIRC6,0.02652733118971061,0.0014962442672814494,0.3766273085074175,0.02369658369768116,0.19507575757575757,33
BPTF,0.04340836012861736,0.0009472972982657951,0.38442521631644005,0.0593640922954153,0.4060097833682739,54
BRAF,0.0819935691318328,0.009508212986309685,0.4466786355475763,0.08165983280158617,0.18967190836730732,102
BRCA2,0.04581993569131833,0.0035152110568376187,0.41647137596250416,0.054394799998248845,0.2518796992481203,57
BRD4,0.1197749196141479,0.013335411300534767,0.4492596605272662,0.1350425668785652,0.21159078541628878,149
BRINP3,0.002411575562700965,3.3740193211388756e-06,0.28324225865209474,0.0004789371308381606,0.0,3
BRSK2,0.005627009646302251,2.7668831160820064e-05,0.333244039646397,0.00411995581116021,0.42857142857142855,7
BRWD3,0.01045016077170418,0.00035983444693129336,0.3430777716492002,0.009032588434023315,0.28205128205128205,13
BSN,0.02090032154340836,0.0006318346077755722,0.36089353060632434,0.016877067701906594,0.49230769230769234,26
BST1,0.01045016077170418,0.0008633636567098435,0.3227815256875973,0.0019642518151002787,0.11538461538461539,13
BTAF1,0.016881028938906754,0.00036473446308319855,0.34700139470013946,0.01654880009697254,0.2857142857142857,21
BTRC,0.04581993569131833,0.004246590658533278,0.4168900804289544,0.04066569568695046,0.20238095238095238,57
C12orf57,0.0040192926045016075,0.0001017447485200777,0.3004105288577638,0.0010462429561507631,0.3,5
C15orf62,0.0008038585209003215,0.0,0.2503521835379352,0.0001288478709230522,0.0,1
C4B,0.006430868167202572,0.00022638415759887646,0.32522875816993463,0.0017645519402131006,0.07142857142857142,8
CA6,0.0008038585209003215,0.0,0.2372234935163997,1.587275666222935e-05,0.0,1
CACNA1A,0.0522508038585209,0.0035378047186173443,0.39668367346938777,0.03237882286640584,0.2846153846153846,65
CACNA1B,0.04260450160771704,0.0019160652346584526,0.38430645659561324,0.02639255803897294,0.3084179970972424,53
CACNA1C,0.07154340836012861,0.00851235967964614,0.4273445551356922,0.04341596702158992,0.20224719101123595,89
CACNA1D,0.04662379421221865,0.0016557424894789554,0.3854973659745894,0.027492616554125045,0.29764065335753176,58
CACNA1E,0.022508038585209004,0.00010976606868910862,0.34963462619449126,0.012225361119439747,0.5158730158730159,28
CACNA1F,0.03295819935691318,0.002718937188250228,0.37481169026815303,0.017096878377586562,0.30853658536585366,41
CACNA1G,0.03456591639871383,0.0007581336399098311,0.3712324679200239,0.016761298065619403,0.36766334440753046,43
CACNA1H,0.03617363344051447,0.0010678143901172036,0.36892052194543296,0.017221376535565644,0.36262626262626263,45
CACNA1I,0.02572347266881029,0.0007940299900873628,0.3526077097505669,0.013125410000327395,0.5120967741935484,32
CACNA2D1,0.03376205787781351,0.001502198340183794,0.37708396483782963,0.018490957522957735,0.3228803716608595,42
CACNA2D3,0.02090032154340836,8.953130324429212e-05,0.355225585379783,0.01198975957262714,0.5907692307692308,26
CACNB1,0.024115755627009645,0.00015958694939414037,0.3603707995365006,0.014298254485237059,0.4735632183908046,30
CACNB2,0.03536977491961415,0.0007424498943623976,0.374473208910295,0.019416285578034997,0.3657505285412262,44
CACNG2,0.04260450160771704,0.0018131647965886366,0.3784606023729845,0.029612199285647924,0.3563134978229318,53
CADM1,0.02009646302250804,0.00031643460317595844,0.3707898658718331,0.0162675198008989,0.37333333333333335,25
CADM2,0.006430868167202572,0.000849057762938925,0.32840549102428723,0.0034594410978716784,0.14285714285714285,8
CADPS,0.012861736334405145,6.796630514856868e-05,0.3396123396123396,0.0065663031329466276,0.43333333333333335,16
CADPS2,0.006430868167202572,0.00011786750051066044,0.33998360207707023,0.003522839200098845,0.17857142857142858,8
CAMK2A,0.08038585209003216,0.007148884149171084,0.4392655367231638,0.0654481233782608,0.23696969696969697,100
CAMK2B,0.04742765273311897,0.003492347082553487,0.41439040639573615,0.040681895400085766,0.2559906487434249,59
CAMK2D,0.024115755627009645,0.0010921068255266512,0.3889931207004378,0.02265154957952245,0.34022988505747126,30
CAMK4,0.02572347266881029,0.0019227207798872892,0.3955484896661367,0.02594364124988268,0.2399193548387097,32
CAMTA2,0.003215434083601286,0.0,0.3237054384595368,0.002688289616564811,1.0,4
CAPN12,0.001607717041800643,0.0011082034993913697,0.2818305391934753,0.0002541153883351296,0.0,2
CAPRIN1,0.017684887459807074,7.984028397485288e-05,0.35482030804335424,0.011323856022483552,0.5151515151515151,22
CAPZA2,0.01527331189710611,0.0007337546590473723,0.36990782039845377,0.008578550854960901,0.2807017543859649,19
CARD11,0.01045016077170418,0.001192698330429953,0.3537105487631504,0.012459647904881412,0.32051282051282054,13
CASK,0.04421221864951769,0.0038586455591625092,0.40206851971557855,0.03031162081774544,0.24848484848484848,55
